FT	PID	QT	WT	STATUS
2	1	0	2
7	3	5	2
12	4	11	1
21	5	17	4
24	6	22	2
29	7	28	1
34	8	31	3
41	9	40	1
42	10	40	2
57	11	49	8
68	14	67	1
71	15	70	1
72	16	70	2
71	13	63	8
72	12	56	16
78	17	77	1
80	18	77	3
82	20	80	2
84	19	80	4
91	21	88	3
92	22	88	4
96	23	94	2
107	25	103	4
118	27	117	1
128	28	126	2
136	30	135	1
144	31	140	4
148	32	145	3
153	33	151	2
156	34	155	1
153	29	132	21
162	36	159	3
162	35	158	4
162	37	160	2
166	38	164	2
167	24	95	72
181	39	172	9
187	41	184	3
191	43	189	2
191	42	188	3
195	45	194	1
200	46	198	2
201	48	199	2
202	47	198	4
197	40	178	19
199	44	192	7
212	51	211	1
209	49	204	5
217	52	215	2
222	53	216	6
224	56	222	2
219	50	205	14
232	59	231	1
228	54	221	7
233	58	230	3
249	61	246	3
257	62	254	3
253	60	239	14
263	63	258	5
266	64	261	5
268	65	267	1
271	66	269	2
277	67	275	2
289	69	288	1
289	68	283	6
293	70	290	3
295	71	292	3
301	73	300	1
301	72	292	9
308	75	306	2
309	74	304	5
316	77	313	3
316	76	309	7
321	78	320	1
333	79	324	9
339	81	336	3
342	80	327	15
348	82	345	3
346	55	222	124
354	84	353	1
358	85	356	2
368	86	364	4
373	87	370	3
381	88	379	2
386	57	230	156
390	91	388	2
391	90	384	7
404	93	402	2
405	94	402	3
412	95	407	5
421	97	418	3
424	98	423	1
424	96	409	15
436	101	435	1
442	102	440	2
443	103	442	1
453	105	452	1
452	104	443	9
461	107	460	1
465	106	460	5
468	108	465	3
465	83	345	120
469	109	466	3
475	112	474	1
479	99	424	55
477	111	469	8
483	113	480	3
484	110	469	15
490	115	488	2
492	117	490	2
500	119	498	2
503	116	488	15
510	120	506	4
512	118	498	14
517	121	513	4
520	123	519	1
519	122	516	3
522	124	520	2
519	114	485	34
522	100	430	92
531	125	529	2
535	126	534	1
545	128	543	2
550	129	549	1
554	130	553	1
564	131	559	5
570	132	566	4
577	134	575	2
577	127	534	43
584	135	583	1
584	137	583	1
586	136	583	3
590	138	587	3
590	133	575	15
601	139	591	10
605	142	603	2
611	141	603	8
618	144	615	3
616	140	595	21
625	145	622	3
628	146	625	3
631	148	630	1
631	147	626	5
636	149	633	3
647	150	638	9
650	152	646	4
654	153	652	2
661	156	660	1
661	154	660	1
668	157	667	1
662	151	638	24
670	155	660	10
684	160	681	3
681	158	669	12
690	159	678	12
692	161	687	5
696	163	695	1
711	165	707	4
712	164	701	11
714	166	711	3
728	168	726	2
732	169	731	1
742	170	740	2
747	171	743	4
751	172	750	1
761	173	755	6
765	174	762	3
768	175	767	1
772	176	769	3
779	177	773	6
781	179	778	3
782	180	780	2
784	167	718	66
792	182	788	4
793	178	775	18
798	184	796	2
799	183	796	3
806	186	803	3
811	187	808	3
810	185	797	13
809	181	787	22
816	188	815	1
825	189	822	3
831	191	830	1
831	190	822	9
841	195	840	1
841	193	839	2
842	194	840	2
845	192	837	8
849	196	848	1
855	198	854	1
855	197	854	1
863	199	861	2
880	200	866	14
patients: 194   [NP: 65, SP: 60, EP: 69]
hospitals: 8
Cars: 702   [Scar: 351, NCar: 351]
Avg wait Time: 8.18041
Redirected EP%: 2.89855%
Avg busy time: 1.59829
Avg utilization time: 0.180598%
